"route","mod","aic","dAIC","z"
"124_04_063","tnegb",415.195489995698,0.827631899285223,0.000187193201553673
"124_04_063","plnorm",416.285658939103,1.9178008426901,NA
"124_04_063","fish",414.367858096413,0,NA
"124_04_077","tnegb",236.581074400435,1.99299962340763,1.88189203547342e-05
"124_04_077","plnorm",237.95029164288,3.36221686585216,NA
"124_04_077","fish",234.588074777028,0,NA
"124_04_078","tnegb",232.6606686776,1.67606626101892,0.000692080521558369
"124_04_078","plnorm",233.797052987331,2.81245057075043,NA
"124_04_078","fish",230.984602416581,0,NA
"124_04_079","tnegb",181.545285687622,2.00542036413469,0.00489912924100377
"124_04_079","plnorm",183.42179594813,3.88193062464302,NA
"124_04_079","fish",179.539865323487,0,NA
"124_04_105","tnegb",374.403184604127,0,5.5191471308624e-07
"124_04_105","plnorm",376.851851530507,2.44866692637964,NA
"124_04_105","fish",376.026404099065,1.62321949493833,NA
"124_04_109","tnegb",377.246189794988,7.40319976631622,0.492026227935429
"124_04_109","plnorm",369.842990028672,0,NA
"124_04_109","fish",375.239555957572,5.39656592890054,NA
"124_04_111","tnegb",281.211141937275,0.639957311073488,0.000244306029678347
"124_04_111","plnorm",280.571184626201,0,NA
"124_04_111","fish",281.593502486163,1.02231785996162,NA
"124_04_112","tnegb",319.119134887848,1.91354839542817,0.000417846992512578
"124_04_112","plnorm",322.085425988462,4.87983949604228,NA
"124_04_112","fish",317.20558649242,0,NA
"124_04_113","tnegb",329.729400225482,2.00567826288767,0.0776968260931608
"124_04_113","plnorm",331.887756936176,4.16403497358169,NA
"124_04_113","fish",327.723721962595,0,NA
"124_04_114","tnegb",387.783930896322,8.85655865244843,2.77184383886348
"124_04_114","plnorm",378.927372243874,0,NA
"124_04_114","fish",385.776245596092,6.84887335221839,NA
"124_04_115","tnegb",372.5754556474,0.718885238048074,0.00132652737004836
"124_04_115","plnorm",375.242755555225,3.38618514587256,NA
"124_04_115","fish",371.856570409352,0,NA
"124_04_116","tnegb",272.018661278318,0,0.000909704517490862
"124_04_116","plnorm",273.777483851687,1.75882257336883,NA
"124_04_116","fish",275.405328673327,3.38666739500923,NA
"124_04_120","tnegb",330.261419722665,0.000266744997645674,0.000909037198401227
"124_04_120","plnorm",334.662012929688,4.40085995202077,NA
"124_04_120","fish",330.261152977667,0,NA
"124_04_121","tnegb",346.769344369835,2.00561547319575,0.175793677834901
"124_04_121","plnorm",348.104814131892,3.34108523525305,NA
"124_04_121","fish",344.763728896639,0,NA
"124_04_125","tnegb",257.455312830674,2.01241590607049,0.157395242768185
"124_04_125","plnorm",258.898798940489,3.45590201588607,NA
"124_04_125","fish",255.442896924603,0,NA
"124_04_127","tnegb",430.427128677469,0.690523649483623,0.000440233864817057
"124_04_127","plnorm",433.473273368672,3.73666834068626,NA
"124_04_127","fish",429.736605027985,0,NA
"124_04_128","tnegb",281.300221121751,2.00124708670324,0.00455630477348809
"124_04_128","plnorm",286.922513856334,7.6235398212869,NA
"124_04_128","fish",279.298974035048,0,NA
"124_04_129","tnegb",390.924923074685,1.98018655075759,0.00280306043612026
"124_04_129","plnorm",397.028461448496,8.08372492456812,NA
"124_04_129","fish",388.944736523928,0,NA
"124_04_131","tnegb",397.430885142409,1.46135920711708,8.1279595347949e-05
"124_04_131","plnorm",402.23940049809,6.2698745627979,NA
"124_04_131","fish",395.969525935292,0,NA
"124_04_136","tnegb",319.86973382569,2.00738384384323,0.074708386054037
"124_04_136","plnorm",319.146373388886,1.28402340703968,NA
"124_04_136","fish",317.862349981847,0,NA
"124_04_138","tnegb",296.829400932733,1.8494816624347,4.25854870320107e-06
"124_04_138","plnorm",299.445190556408,4.46527128611001,NA
