"fg","ff","S","ks","ll","chi2.cdf","chi2.rad","mse.cdf","mse.rad","lr","z_ks","z_ll","z_chi2.cdf","z_chi2.rad","z_mse.cdf","z_mse.rad","z_lr"
"2,0.01","2,0.01",10,0.151531617549313,-42.8998103052768,0.146502178527071,27.2521511507361,0.0535820931707972,0.284164184763392,4.26002423516483,0.337496103283522,0.0020465707734281,0.538177133674459,1.28286875065704,0.378599026084049,0.402551016406475,0.0262230677825258
"2,0.01","2,0.01",10,0.145520853056402,-48.0660625383918,0.0574731623501201,533.537559779954,0.0129511206175986,2.31648217396136,8.62473591177056,0.421974564956955,0.192480581090871,1.33104272149159,3.72200126298979,0.979037521048287,0.444496428133052,13.3164705524781
"2,0.01","2,0.01",10,0.197054758759226,-47.6752026913431,0.293769837798034,84.3698153820444,0.0733397535915615,2.72708797831956,-1.14295959027859,0.00372156495273111,0.161693294995832,0.00149701318363371,0.619691223740005,0.187801976583704,0.864142427594006,23.8107560977779
"2,0.01","2,0.01",15,0.151531617549313,-60.6900705163326,0.0989250383979489,19.8787338447716,0.0225390849097014,0.0648990687599566,6.77211397096729,0.494832531871912,0.064691468022287,0.7493763644976,1.17122997299814,0.485226013891692,0.62668254756219,31.5742643570343
"2,0.01","2,0.01",15,0.145520853056402,-72.2708566704094,0.0708046164037967,593.682980591821,0.0124011185813029,1.51826498077381,11.0319633208495,0.60625524374087,0.226885668916455,0.992475195974528,0.186537667295209,0.645713034359723,0.0791376793474113,27.1950456837483
"2,0.01","2,0.01",15,0.230388092092559,-68.6044484877023,0.353706935316251,130.672156224054,0.08230679223606,2.66747064780348,-2.60385974392652,0.0800135641676582,0.0600246448112612,0.100683169465091,0.62390428506544,0.0043404362425033,1.27625600170986,868.175299721399
"2,0.01","2,0.01",20,0.101531617549313,-84.5111219099325,0.051074794145219,115.705096097086,0.0093810323238668,0.10318575494827,13.6287506601221,22.0456445817883,0.0368377742552515,44.0277893628236,0.32698850701612,19.3778950943888,0.450046549690705,2850.57841049777
"2,0.01","2,0.01",20,0.0955208530564019,-91.9744256973672,0.0472639593895307,472.970821049649,0.0052395174511411,0.533219533537808,14.9793139495048,37.3259514438865,0.11469419566014,46.6183954365697,0.186973033950189,26.9361134186183,0.000588142968999438,7394.97852548536
"2,0.01","2,0.01",20,0.197054758759226,-92.3865275750944,0.533804697198164,38.4314198478073,0.0964281680993065,1.8356334872324,1.06285371396507,316.110198001085,0.135397015904975,314.686298634083,0.622578611071477,147.856622403098,3.74063455572539,62478.0205256336
"2,0.01","2,0.01",25,0.0850790041425261,-111.804891525871,0.0598286311797441,161.628231031896,0.00734823030391845,0.272936344963163,12.9656072061985,1.69767367968966,0.118064092717958,3.42015820159262,1.03813577051335,2.04749207515434,0.156869304191404,0.522342671647541
"2,0.01","2,0.01",25,0.105520853056402,-117.020242678833,0.0605652564437935,742.760347988766,0.00472685111813396,0.718100969386067,19.1456962348922,0.790066544748526,0.363242287196889,3.39987114816813,4.82647588681289,2.29206946829193,0.654874162163692,6.53030591939677
"2,0.01","2,0.01",25,0.141517695783242,-109.694102909262,0.302863131567044,64.9771685644887,0.0525350554594391,0.848110129063052,3.18300364843989,0.0254937626994673,0.0569984858309223,0.00137316792178442,2.41407051448734,5.34797495882826e-07,1.34850307440879,34.9498177088319
"2,0.01","2,0.01",40,0.110693487756241,-178.121692359294,0.135007575692,121.657227620323,0.0119776203397912,0.228251775114423,15.8195740108961,9.04876568399179,1.6047318832572,0.897913764038042,11.9629858947586,0.98492731164443,4.42461490099374,0.711739771194691
